cleaned_ocr,common_name,scientific_name,range,specimen_sketched,plate_number,corrected_plate,page_id,state,country
"TRUMPETCREEPER

Bignonia radicans Linnaeus

Trumpetcreeper is a hardy vine with strong growth, and with gaudy red to orange flowers clustered at the ends of long, graceful stems. If it has an opportunity it clings by means of aerial roots to a supporting neighbor, and frequently it climbs to the tops of tall trees. If no support is available it is satisfied to grow in moist fields, or on neglected roadsides. It is especially beloved by humming birds, which poise below the blossoms and thrust their long, slender bills into the trumpets to reach the nectar glands at the base. Audubon, in painting the ruby-throat, shows the bird with this flower. The trumpetcreeper belongs to the Bignonia Family, whose name was given by Linnaeus in honor of Abbe Bignon, librarian to Louis XV. The genus, as restricted by some authors, contains but two known species, the other being a native of Japan. The crossvine of the Southern States is a near relative. The Bignonia Family is a large one, but most of its representatives are confined to the tropics.

Trumpetcreeper ranges from Florida and Texas northward to southern New Jersey, Pennsylvania, Illinois, and Iowa.

The specimen sketched was found near Washington, District of Columbia.

PLATE 227",TRUMPETCREEPER,Bignonia radicans Linnaeus,"Trumpetcreeper ranges from Florida and Texas northward to southern New Jersey, Pennsylvania, Illinois, and Iowa.","The specimen sketched was found near Washington, District of Columbia.",227,227,42669689,District of Columbia,USA
"HIGHBUSH BLUEBERRY

Vaccinium corymbosum Linnaeus

Highbush blueberry is better known by its delicious fruit than by the beautiful flowers which are so attractive in spring. These are borne thickly on the branches and attract many insects to their nectar feast. But it is when loaded with fruit that the plant’s principal claim to our interest is acknowledged. While the wild berry is attractive, the improved varieties developed by Dr. Frederick V. Coville are our admiration and delight. The berries of these cultivated forms have reached seven-eighths of an inch in diameter. Highbush blueberries are grown in acid soils, and as they are very hardy, many waste places in our Northern States can be utilized to produce a crop of delicious fruit.

Highbush blueberry ranges, in its numerous forms, from North Carolina (and perhaps farther southward) westward to the Mississippi Valley, and north to Minnesota and Maine.

The specimen sketched was grown in the greenhouses of the Department of Agriculture in Washington from specimens obtained in New Jersey.

PLATE 228",HIGHBUSH BLUEBERRY,Vaccinium corymbosum Linnaeus,"Highbush blueberry ranges, in its numerous forms, from North Carolina (and perhaps farther southward) westward to the Mississippi Valley, and north to Minnesota and Maine.",The specimen sketched was grown in the greenhouses of the Department of Agriculture in Washington from specimens obtained in New Jersey.,228,228,42669690,New Jersey,USA
"BOX HUCKLEBERRY

The greatest development, it is known as “juniper.” Although the berries are rather insipid when eaten raw, they make delicious preserves. The range of the box huckleberry is from eastern Tennessee and probably northernmost North Carolina through the mountains of southern West Virginia and the western edge of Virginia. Isolated colonies, most if not all of them consisting of single plants, occur at two places in Pennsylvania, and one each on the Coastal Plain of Maryland and Delaware. These outlying plants have probably arisen from seeds carried by birds from the mountain colonies, a few hundred miles away. The New Bloomfield plant is estimated to be more than a thousand years old, and one of those near Losh Run, Pennsylvania, five to ten thousand years old.

The specimen figured was grown in a greenhouse of the United States Department of Agriculture in Washington.

PLATE 229",BOX HUCKLEBERRY,Gaylussacia brachycera (Michaux) Gray,The range of the box huckleberry is from eastern Tennessee and probably northernmost North Carolina through the mountains of southern West Virginia and the western edge of Virginia.,The specimen figured was grown in a greenhouse of the United States Department of Agriculture in Washington.,229,229,42669691,Washington,USA
"PINE LAND BLUEBERRY

Vaccinium tenellum Aiton

Pineland blueberry is a low shrub, rarely over three feet high. It has long, slender, woody underground stems, from which rise at irregular intervals the stiff, bushy branches. The flowers open in early spring, before the finely toothed leaves are fully expanded. The edible berries are a quarter of an inch in diameter, and black, with a whitish bloom over their surface.

Pineland blueberry ranges from Florida to Virginia and westward to Mississippi. It is a shrub of the Coastal Plain, and grows chiefly in sandy pine woods.

The sketch was made from specimens collected at Beaufort, South Carolina.

PLATE 230",PINE LAND BLUEBERRY,Vaccinium tenellum Aiton,Pineland blueberry ranges from Florida to Virginia and westward to Mississippi.,"The sketch was made from specimens collected at Beaufort, South Carolina.",230,230,42669693,South Carolina,USA
"CUCUMBERTREE

Magnolia acuminata Linnaeus

The cucumbertree is a handsome inhabitant of the eastern forests. Under favorable conditions it attains a height of ninety feet with a proportionately broad crown. The greenish-yellow flowers, in spite of their large size, are not so conspicuous as those of some other magnolias, for their color blends with that of the leaves. The cylindrical fruit, when ripe, is rose-colored, but before maturity, it is green, and bears some resemblance to a small cucumber. The wood is soft and yellowish brown.

This species has a wider range than most of the magnolias, extending from Georgia to Mississippi and Missouri and northward to New York and Ontario.

The specimen sketched was taken from a beautiful tree growing in front of the buildings of the Department of Agriculture in Washington, District of Columbia.

PLATE 231",CUCUMBERTREE,Magnolia acuminata Linnaeus,"This species has a wider range than most of the magnolias, extending from Georgia to Mississippi and Missouri and northward to New York and Ontario.","The specimen sketched was taken from a beautiful tree growing in front of the buildings of the Department of Agriculture in Washington, District of Columbia.",231,231,42669694,District of Columbia,USA
"DOWNY PINXTERBLOOM

Azalea rosea Loiseleur

Downy Pinxterbloom is a striking plant when in bloom, its masses of clear pink flowers attracting the attention of everyone. It decorates the landscape wherever it is found, and is especially beautiful as seen along narrow mountain roads. Here it grows in profusion in company with mountain-laurel and other acid-soil plants. It has a delightful odor. The shrub grows in a vigorous manner, and in favorable locations reaches a height of fifteen feet. It is often called erroneously honeysuckle. It is easily cultivated in suitable soils, and should be planted freely by those who love our native shrubs.

Downy Pinxterbloom extends from the mountains of Virginia westward to Missouri and north to New Hampshire and Southern Quebec.

The specimen sketched was brought into bloom in the greenhouses of the Department of Agriculture in Washington.

PLATE 232",DOWNY PINXTERBLOOM,Azalea rosea Loiseleur,Downy Pinxterbloom extends from the mountains of Virginia westward to Missouri and north to New Hampshire and Southern Quebec.,The specimen sketched was brought into bloom in the greenhouses of the Department of Agriculture in Washington.,232,232,42669695,Washington,USA
"SPOTTED BEEBALM

Monarda punctata Linnaeus

Spotted beebalm is one of the most beautiful members of the Mint Family. The delicate combination of color in its flowers is quite unlike the colors exhibited by most of its relatives. The plant has a strong flavor and scent, somewhat resembling that of mint but closer to that of thyme. It contains, in fact, so much of the valuable drug thymol that attempts have been made to grow it as a source of this substance. It grows mostly in dry, sterile, and often acid soils, being found in the Southern States in pine woods, though in the West it is frequent on prairies. It is sometimes called horsemint.

Spotted beebalm is distributed from Florida to Texas and Kansas and northward to southern New York and Minnesota.

The specimen sketched was obtained near Washington, District of Columbia, where it blooms throughout late summer.

PLATE 233",SPOTTED BEEBALM,Monarda punctata Linnaeus,Spotted beebalm is distributed from Florida to Texas and Kansas and northward to southern New York and Minnesota.,"The specimen sketched was obtained near Washington, District of Columbia, where it blooms throughout late summer.",233,233,42669696,District of Columbia,USA
"VIRGINIA SPRINGBEAUTY

Claytonia virginica Linnaeus

Springbeauty is one of the first spring flowers, blooming with hepatica, bloodroot, anemone, and trout lily. It grows from a small tuber, which is edible. The flowers open only in bright sunshine, closing at night and not opening again if the following day is cloudy. The three style branches of the pistil remain closely pressed together until the anthers have yielded their pollen to visiting insects; then the style branches spread to receive pollen from the later flowers. Longfellow alludes to the springbeauty in “Hiawatha,” telling us that
Where the fire had smoked and smoldered,
Saw the earliest flower of Spring-time,
Saw the Beauty of the Spring-time,
Saw the Miskodeed in blossom.

This species of springbeauty ranges from Georgia to Texas and northward to Nova Scotia, Montana, and Saskatchewan.

The sketch was made from plants growing near Washington, District of Columbia.

PLATE 234",VIRGINIA SPRINGBEAUTY,Claytonia virginica Linnaeus,"This species of springbeauty ranges from Georgia to Texas and northward to Nova Scotia, Montana, and Saskatchewan.","The sketch was made from plants growing near Washington, District of Columbia.",234,234,42669697,District of Columbia,USA
"PURPLE BUTTERWORT

Pinguicula elatior Michaux

Purple butterwort is a dainty and beautiful plant. It grows in moist sandy pine woods on the Coastal Plain, often in association with other purple or yellow butterworts. Although in Florida it may be found in flower at almost any season, it blooms most profusely in spring. The solitary flower is poised at the top of a slender stalk springing from the center of a rosette of pale green leaves, which usually lie flat against the sand. They feel greasy to the touch because they are covered with myriads of minute glands. The exudation from the glands entraps small insects which alight on the leaf surface, and these helplessly entangled creatures are held closely by the involled margins of the leaf blade, to be digested and assimilated as food. The butterworts are all terrestrial plants, but they belong to the same family as the bladderworts, many of which are aquatic. This species of butterwort is common in Florida and adjoining states, but appears to be unable to withstand cold weather. It has not migrated farther north than southern North Carolina. Curiously enough, one of its close relatives is intolerant of warm climates, and though occurring through much of Canada, has not reached farther south than central New York.

The specimen sketched was brought into flower in the greenhouses of the United States Department of Agriculture in Washington, from specimens obtained in Florida.

PLATE 235",PURPLE BUTTERWORT,Pinguicula elatior Michaux,"This species of butterwort is common in Florida and adjoining states, but appears to be unable to withstand cold weather. It has not migrated farther north than southern North Carolina.","The specimen sketched was brought into flower in the greenhouses of the United States Department of Agriculture in Washington, from specimens obtained in Florida.",235,235,42669698,Florida,USA
"PARROT PITCHERPLANT

Sarracenia psittacina Michaux

Parrot pitcherplant is a beautiful member of the bizarre group to which it belongs. The Pitcherplant Family consists of only three genera and about ten species, all American. The true pitcherplants are all natives of the eastern United States, but one of their relatives grows in the mountains of California, and the other still farther away, in the mountains of Guiana. Our pitcherplants inhabit peat bogs, and they may be grown easily in the hot-house in a mixture of peat and sand. The pot should be placed inside a larger one, and the space between should be stuffed with peat moss, thus imitating the natural conditions of soil and moisture.

The parrot pitcherplant is one of the many interesting plants which are found on our southeastern Coastal Plain. It ranges from Florida to Georgia and Alabama.

The specimen sketched was grown in the greenhouses of the Department of Agriculture in Washington.

PLATE 236",PARROT PITCHERPLANT,Sarracenia psittacina Michaux,The parrot pitcherplant is one of the many interesting plants which are found on our southeastern Coastal Plain. It ranges from Florida to Georgia and Alabama.,The specimen sketched was grown in the greenhouses of the Department of Agriculture in Washington.,236,236,42669699,Washington,USA
"WOOD SKULLCAP

Scutellaria serrata Andrews

This species is one of the most showy and beautiful of all the skullcaps, of which there are over sixty species in the United States. Its large, blue-purple flowers and the bright-green scentless foliage distinguish it from most other members of the Mint Family native in the Eastern States. It is a forest plant, apparently preferring soils of low acidity, forming small dense clumps, and flowering in May and June. Pink and white forms are occasionally found.

Wood skullcap ranges from South Carolina to Alabama and northward to New York and Illinois.

The sketch was made from a specimen found near Washington, District of Columbia.

PLATE 237",WOOD SKULLCAP,Scutellaria serrata Andrews,Wood skullcap ranges from South Carolina to Alabama and northward to New York and Illinois.,"The sketch was made from a specimen found near Washington, District of Columbia.",237,237,42669700,District of Columbia,USA
"BLUE-EYED-GRASS

Sisyrinchium angustifolium Miller

The starlike flowers of blue-eyed-grass open only in bright sunshine, and last but a single day. Thus in fields that were plentifully sprinkled with them in the morning, not a flower will be found among the grasslike leaves and stems in the afternoon. Its leaves, although very slender, resemble those of an iris, being flattened and attached with their edges turned toward the stem. The plant is a member of the Iris Family.

This species of blue-eyed-grass has a wide range, from Virginia to Colorado and northward to Newfoundland and British Columbia. It has many close relatives, which can be distinguished from it only by botanists who have made a special study of this group.

The specimen sketched was gathered in the valley of Ghost River, thirty-five miles from Banff, Alberta, Canada, at an altitude of 4,000 feet.

PLATE 238",BLUE-EYED-GRASS,Sisyrinchium angustifolium Miller,"This species of blue-eyed-grass has a wide range, from Virginia to Colorado and northward to Newfoundland and British Columbia.","The specimen sketched was gathered in the valley of Ghost River, thirty-five miles from Banff, Alberta, Canada, at an altitude of 4,000 feet.",238,238,42669701,Alberta,Canada
"RED TRILLIUM

Trillium erectum Linnaeus

In one pronounced character the red trillium is strikingly different from other trilliums, which have no well-defined odor. The strong offensive odor of this plant is repellent to the bees and butterflies, although it does draw the carrion flies, which have a monopoly of the pollen shed by the anthers.

Red trillium ranges from North Carolina to Tennessee and northward to Nova Scotia and Ontario.

The plant sketched was procured from the National Zoological Park in Washington, District of Columbia.

PLATE 239",RED TRILLIUM,Trillium erectum Linnaeus,Red trillium ranges from North Carolina to Tennessee and northward to Nova Scotia and Ontario.,"The plant sketched was procured from the National Zoological Park in Washington, District of Columbia.",239,239,42669702,District of Columbia,USA
"SNOW TRILLIUM

Trillium grandiflorum (Michaux) Salisbury

Snow trilliums are a delight to behold when they reach the perfection of growth in spring along with other early spring flowers. They love woodland regions, pushing up from the ground through the covering of brown leaves, and waving in every fitful breeze that blows. As the flowers fade they are flushed with a dainty pink color. Snow trilliums are easily grown and quickly spread through the woods when planted, needing no especial care. The soil must be rich, moist, and well-drained. The trilliums belong to the Lily Family.

The snow trillium has a rather wide range, extending from North Carolina to Missouri and northward to Minnesota, Ontario, and Quebec.

The sketch was made from plants grown near Washington, District of Columbia.

PLATE 240",SNOW TRILLIUM,Trillium grandiflorum (Michaux) Salisbury,"The snow trillium has a rather wide range, extending from North Carolina to Missouri and northward to Minnesota, Ontario, and Quebec.","The sketch was made from plants grown near Washington, District of Columbia.",240,240,42669703,District of Columbia,USA
"SHOWY ORCHIS

Orchis spectabilis Linnaeus

Although this orchid is known by the English equivalent of its Latin name, showy orchis, the name is really not appropriate, for the plant is far less conspicuous than some of its North American relatives. It is known also as “pulpit-flower,” because of the resemblance of the mauve-colored arched petals to the sounding-board over a pulpit. In a walk through the deep woods in early spring, our feet rustling last year's fallen leaves, it is a pleasant surprise to chance upon a group of plants of this shy beauty, the earliest of the orchids to blossom.

The flower is well adapted to ensure cross-pollination by bumblebees, for not only is the lip or lower petal of just the size to enable these insects to get a good hold upon it, but the spur, at the bottom of which the nectar is contained, is exactly equal in length to the bumblebee's tongue, so that smaller insects cannot reach the nectar. Finally, the anther is so situated that while the bee is busily engaged in extracting the nectar, its head is smeared with the sticky pollen, and as the bee enters the flower of another plant, this pollen is rubbed off on the stigma, thus effecting cross-pollination. The waxy flowers are borne on a short stem, arising between two bright green leaves.

Showy orchis is found from Georgia to Arkansas, and northward to the Dakotas, Ontario, and New Brunswick.

The specimen sketched grew near Washington, District of Columbia.

PLATE 241",SHOWY ORCHIS,Orchis spectabilis Linnaeus,"Showy orchis is found from Georgia to Arkansas, and northward to the Dakotas, Ontario, and New Brunswick.","The specimen sketched grew near Washington, District of Columbia.",241,241,42669083,District of Columbia,USA
"ROSEBUD ORCHID

Pogonia divaricata (Linnaeus) Robert Brown

Rosebud orchid is widespread and abundant in the far South, and the acid-soil meadows of northern Florida are sometimes colored pink by thousands of its blossoms. Farther north it becomes rarer, and is seldom found even by the botanist, whose excursions lead him to remote fields and bogs. The lovely shading and delicate penciling of the petals lend a peculiar charm to this orchid. To people not familiar with the book name, it is often known as the ""rosebud flower,"" because of the resemblance of the lip to a slender rosebud. Some botanists hold that it is not a true Pogonia, assigning to it the name Cleistes divaricata.

Rosebud orchid is found from Florida and Alabama northward to Kentucky and southern New Jersey, growing both in lowlands near the coast and on high mountains.

The specimen sketched was obtained near Beaufort, South Carolina.

PLATE 242",ROSEBUD ORCHID,Pogonia divaricata (Linnaeus) Robert Brown,"Rosebud orchid is found from Florida and Alabama northward to Kentucky and southern New Jersey, growing both in lowlands near the coast and on high mountains.","The specimen sketched was obtained near Beaufort, South Carolina.",242,242,42669084,South Carolina,USA
"LARGE PURPLE FRINGE-ORCHID

Habenaria grandiflora (Bigelow) Torrey

Large purple fringe-orchid is perhaps the most beautiful of the Habenarias. The delightful fragrance of its flowers appeals to us no less than their beauty, and we are not surprised that they attract bees and moths to their nectar and pollen. The plant prefers moist or swampy places in grassy meadows or in partial shade, where the soil is distinctly, though not very strongly, acid.

Large purple fringe-orchid is found from the mountains of North Carolina northward to Newfoundland and Ontario.

The sketch was made from a specimen obtained on Mount Desert Island, Maine, where it grows abundantly.

PLATE 243",LARGE PURPLE FRINGE-ORCHID,Habenaria grandiflora (Bigelow) Torrey,Large purple fringe-orchid is found from the mountains of North Carolina northward to Newfoundland and Ontario.,"The sketch was made from a specimen obtained on Mount Desert Island, Maine, where it grows abundantly.",243,243,42669085,Maine,USA
"FRANKLINIA

Franklinia alatamaha Marshall

Franklinia, or Franklin tree, a member of the Tea Family, has perhaps the most romantic history of any plant included in “North American Wild Flowers.” It was first seen by John Bartram in 1765 in the vicinity of Fort Barrington, Georgia, and was named by his friend, Humphrey Marshall, in honor of Benjamin Franklin. His son, William Bartram, also visited the locality in 1791 and described the plant in his “Travels through North and South Carolina.” He states that he never saw it at any other place but near the Fort, where “there are two or three acres of ground where it grows plentifully.” Thorough search has since been made by botanists, including Dr. C. S. Sargent, H. W. Ravenel, and Dr. E. T. Wherry, but no wild plants can be found. All those in existence in American gardens apparently originated with the plant or plants obtained by William Bartram and grown at Philadelphia in the place long known as Bartram’s Garden, now a public park.

Franklinia has been shown by Dr. Frederick V. Coville to belong to the great number of plants that flourish only in acid soils. Cuttings have been rooted successfully and distributed to nurserymen and to private gardens. At Whitesbog, in New Jersey, a number of plants are growing vigorously under the care of Miss Elizabeth C. White. The specimen sketched was obtained from one of these plants when they were in blossom in September, 1926. The delicious odor of the flowers attracts many bees, but few viable seeds have resulted. The Franklinia blooms in autumn when most other trees or shrubs are past flowering. Its leaves turn a beautiful crimson before falling from the branches.

PLATE 244",FRANKLINIA,Franklinia alatamaha Marshall,"Franklinia is found only near Fort Barrington, Georgia, and it is not found in the wild today.","The specimen sketched was obtained from one of these plants when they were in blossom in September, 1926.",244,244,42669086,?,?
"BLUE PHLOX

Phlox divaricata Linnaeus

Blue phlox is a lovely flower of spring. It often grows in company with cream-white violets in rich valleys, beneath tall trees, affording a delightful combination of dainty color. In its wild state, this species of phlox is variable, the color ranging from pinkish to pale violet, and the corolla-lobes may be entire or deeply notched. It was one of the earliest American plants to be cultivated in Europe, being illustrated in Miller's “Figures of Plants” in 1758.

At Plummers Island, near Washington, District of Columbia, where the specimens sketched were obtained, visitors are not permitted to gather the flowers, and in consequence blue phlox has thrived and grows in great profusion, filling the woods with its fragrance. The plant is well adapted to cultivation in shady gardens.

Blue phlox is found from Florida to eastern Texas and northward to Quebec and Minnesota.

PLATE 245",BLUE PHLOX,Phlox divaricata Linnaeus,Blue phlox is found from Florida to eastern Texas and northward to Quebec and Minnesota.,"At Plummers Island, near Washington, District of Columbia, where the specimens sketched were obtained, visitors are not permitted to gather the flowers, and in consequence blue phlox has thrived and grows in great profusion, filling the woods with its fragrance.",245,245,42669087,District of Columbia,USA
"BLUE-EYED MARY

Collinsia verna Nuttall

Blue-eyed-mary is one of the daintiest of spring flowers. In the Middle West, it sometimes grows in such profusion that the meadows are blue with its brightly colored blossoms. The plant is fragile in appearance. Its flowers, although without odor, are visited by many bees. A member of the Figwort Family, this plant is thus related to the snapdragons, penstemons, and monkeyflowers. It can be cultivated easily in rich, gravelly soil and is a very desirable addition to the wild garden. Since it is a winter annual, the seeds should be sown in summer or early fall, but once established, it reseeds itself abundantly.

The specimen sketched was grown by Dr. Edgar T. Wherry in his garden in Washington from seeds procured from Cincinnati, Ohio.

Blue-eyed-mary ranges from Western Pennsylvania to Kentucky and Kansas, and northward to western New York, Ontario, and Wisconsin.

PLATE 246",BLUE-EYED MARY,Collinsia verna Nuttall,"Blue-eyed-mary ranges from Western Pennsylvania to Kentucky and Kansas, and northward to western New York, Ontario, and Wisconsin.","The specimen sketched was grown by Dr. Edgar T. Wherry in his garden in Washington from seeds procured from Cincinnati, Ohio.",246,246,42669088,Washington,USA
"DUTCHMANS-BREECHES

Dicentra cucullaria (Linnaeus) Millspaugh

The peculiarly delicate flowers of dutchmans-breeches, held aloft above the lacelike leaves by a slender stem, are one of the delights of flower lovers in early spring. This plant prefers rich soil on rocky ledges or well-drained wooded slopes. The leaves wither when the warm days of late spring come. The plant was valued as a love charm by the North American Indians. Recent tests made by the United States Department of Agriculture trace many cases of stock poisoning to this plant. The leaves, unfolding before there is much other green vegetation, are eaten greedily by cattle, and since the plant grows in leaf mold, with slight hold in the earth, it is easily pulled loose, and the tubers as well as the leaves are eaten by the animal. This double dose of the toxic substance, which is contained in all parts of the plant, often produces fatal results. The Virginia highlanders know the plant as “little staggerweed.” It belongs to the Fumitory Family. Many authors use the name Dicentra for the genus. The flowers of this species are usually white, but pink-flowered plants are found occasionally, especially in the southwestern part of its range.

The specimen sketched was obtained near Washington, District of Columbia.

Dutchmans-breeches has a wide range, occurring from North Carolina to Kansas, and north to Minnesota and Nova Scotia.

PLATE 247",DUTCHMANS-BREECHES,Dicentra cucullaria (Linnaeus) Millspaugh,"Dutchmans-breeches has a wide range, occurring from North Carolina to Kansas, and north to Minnesota and Nova Scotia.","The specimen sketched was obtained near Washington, District of Columbia.",247,247,42669089,District of Columbia,USA
"PEATPINK

Silene caroliniana Walter

The bright flowers of the peatpink are larger than the blossoms of most of our wild members of the Pink Family, and always attract notice among the spring flowers. The plants grow in clumps, and prefer dry, sandy or rocky, usually rather acid soil. The flowers have two sets of stamens, one set maturing before the other. The styles do not mature until the stamens have unloaded their pollen on visiting insects, which transfer it to the older flowers, thus ensuring cross-pollination. The flower stalks are sticky, so that small insects, endeavoring to reach the flowers by crawling up the stem, are trapped.

This species, termed in some books Silene pennsylvanica, ranges from Georgia to Massachusetts. A closely related species, differing in that the stems and calyx of the flowers are not sticky, grows from Alabama to Kentucky and has recently been named by Dr. J. K. Small, Silene wherryi.

The specimen painted was obtained at Washington, District of Columbia.

PLATE 248",PEATPINK,Silene caroliniana Walter,"This species, termed in some books Silene pennsylvanica, ranges from Georgia to Massachusetts.","The specimen painted was obtained at Washington, District of Columbia.",248,248,42669090,District of Columbia,USA
"CUT TOOTHWORT

Dentaria laciniata Muhlenberg

Cut toothwort is found in spring growing plentifully in rich, moist woods, at about the same time as bloodroot and hepatica. The name toothwort is given because of the protuberances on the rootstocks of some of the species of Dentaria. These rootstocks have a spicy flavor similar to watercress, and are enjoyed by country children, who know one of the species as “crinkleroot” and dig its rootstocks to eat with their school lunches. The pale pink or white flowers of cut toothwort are rather attractive, but the plant withers quickly when gathered, and does not easily revive.

This member of the Mustard Family is found from Florida to Louisiana and Kansas, and northward to Quebec and Minnesota.

The sketch was made from flowers gathered in Washington, District of Columbia.

PLATE 249",CUT TOOTHWORT,Dentaria laciniata Muhlenberg,"This member of the Mustard Family is found from Florida to Louisiana and Kansas, and northward to Quebec and Minnesota.","The sketch was made from flowers gathered in Washington, District of Columbia.",249,249,42669091,District of Columbia,USA
"SWEET PITCHERPLANT

Sarracenia rubra Walter

Sweet pitcherplant is a lovely member of its family, its flowers held aloft on delicate stems well above the “pitchers.” In addition to other interesting features, it has a delightful odor similar to that of wild grape blossoms. The leaves have the usual characteristics of pitcherplants, catching and digesting unwary insects that enter them. Of all the pitcherplants, this is, perhaps, the most desirable to cultivate because of its fragrance and its lasting qualities. It should be grown in a cool greenhouse.

Sweet pitcherplant is found from Georgia and Alabama to North Carolina, growing chiefly at moderate elevations.

The specimen sketched was brought into bloom by Dr. Frederick V. Coville in the greenhouses of the Department of Agriculture in Washington, District of Columbia.

PLATE 250",SWEET PITCHERPLANT,Sarracenia rubra Walter,"Sweet pitcherplant is found from Georgia and Alabama to North Carolina, growing chiefly at moderate elevations.","The specimen sketched was brought into bloom by Dr. Frederick V. Coville in the greenhouses of the Department of Agriculture in Washington, District of Columbia.",250,250,42669092,District of Columbia,USA
"HOODED PITCHERPLANT

Sarracenia minor Walter

Hooded pitcherplant has some distinctive features not shown by most other members of the family. The hood is beautifully arched, and tends to darken the interior cavity of the leaf. Contrasting with the opaque yellow-green of the surrounding leaf structure, the translucent patches near the summit of the hood are white, and act as windows, transmitting light to the upper part of the “pitchers.” Insects encouraged by the light to enter are often unable to find the way out, and exhausted by their endeavors to escape, drop to the bottom of the “pitcher,” where they die and are digested for the use of the plant.

This is the southernmost in range of all the pitcher plants, occurring in damp, acid meadows as far south as the middle of the Florida peninsula, and ranging northward through eastern Georgia, but barely entering Alabama and North Carolina.

The sketch was made from plants collected near Beaufort, South Carolina.

PLATE 251",HOODED PITCHERPLANT,Sarracenia minor Walter,"This is the southernmost in range of all the pitcher plants, occurring in damp, acid meadows as far south as the middle of the Florida peninsula, and ranging northward through eastern Georgia, but barely entering Alabama and North Carolina.","The sketch was made from plants collected near Beaufort, South Carolina.",251,251,42669093,South Carolina,USA
"BOWMAN'S ROOT

Porteranthus trifoliatus (Linnaeus) Britton

The delicate flowers of bowman’s root grace the woodlands in June, when the graceful loose panicles of white blossoms, sometimes tinged with pink, are at their best. To the layman, the plant bears little resemblance to other members of the Rose Family, to which it belongs. The name Porteranthus was given in honor of Thomas Conrad Porter, professor of botany in Lafayette College. In many books, the plant is named Gillenia trifoliata.

Bowman's root ranges from Georgia to Missouri, and northward to New York, Ontario, and Michigan.

The plant sketched grew near Washington, District of Columbia.

PLATE 292",BOWMAN'S ROOT,Porteranthus trifoliatus (Linnaeus) Britton,"Bowman's root ranges from Georgia to Missouri, and northward to New York, Ontario, and Michigan.","The plant sketched grew near Washington, District of Columbia.",292,252,42669094,District of Columbia,USA
"PINKSHELL AZALEA

Azalea vaseyi (Gray) Rehder

The pinkshell azalea is so charming in form and color that it deserves attention from flower lovers who cultivate our native plants. It prefers rather moist, acid soil, and yields easily to cultivation. The corolla is so different in shape from that of other Azaleas that it is considered by some botanists to belong to a distinct genus, named Biltia in honor of George Vanderbilt.

Pinkshell azalea has a narrow range, being found only at a few restricted localities in the mountains of western North Carolina. For many years nurserymen have been digging and shipping this species from its native haunts, until it has been nearly exterminated as a wild plant. Fortunately, it can be propagated in acid soils from seed.

The specimen sketched was grown by Dr. Paul Bartsch in his garden in Washington, District of Columbia.

PLATE 253",PINKSHELL AZALEA,Azalea vaseyi (Gray) Rehder,"Pinkshell azalea has a narrow range, being found only at a few restricted localities in the mountains of western North Carolina.","The specimen sketched was grown by Dr. Paul Bartsch in his garden in Washington, District of Columbia.",253,253,42669095,District of Columbia,USA
"ROSEBAY RHODODENDRON

Rhododendron maximum Linnaeus

The glory of the rosebay rhododendron when in bloom can hardly be exaggerated. Its lovely white or delicately pink flower clusters, surrounded by dark green leaves, make a charming picture. The shrub grows to a height of thirty feet in the Carolina mountains, where it often covers every available spot, both swamp and hillside, with a tangle of stiff stems and leathery foliage. The mountaineers know it as “laurel.” Its roots lie in mats close to the surface of the ground, and are protected by a cover of fallen leaves, which conserve the moisture, retain the acid condition of the soil, and add fertility.

Rosebay rhododendron is the state flower of West Virginia. It is abundant from central Georgia and Alabama as far north as Pennsylvania. It is occasional farther north, even reaching one or two localities in Nova Scotia.

The specimen sketched was obtained from the mountains of North Carolina.

PLATE 254",ROSEBAY RHODODENDRON,Rhododendron maximum Linnaeus,"Rosebay rhododendron is abundant from central Georgia and Alabama as far north as Pennsylvania. It is occasional farther north, even reaching one or two localities in Nova Scotia.",The specimen sketched was obtained from the mountains of North Carolina.,254,254,42669096,North Carolina,USA
"ATAMASCO-LILY

Atamosco atamasco (Linnaeus) Greene

Springing from the brown bed of the southern forest, no lovelier flower graces the awakening of spring than the atamasco-lily, a member of the Amaryllis Family. Blooming as it does in many places about Easter time, it is widely known in the South as “Easter lily.” Great bunches of the flowers are gathered to decorate homes and churches, but since the bulbs are not disturbed, the plants are not injured. A few long grass-like leaves grow from the bulb, and above them the flower stem, bearing the beautiful white flower, which sometimes is shaded delicately with pale pink. The thrill that comes when the flowers are discovered for the first time will long be remembered, for a patch of moist open woods starred with hundreds of the blossoms is a beautiful sight.

Atamasco-lily ranges from Florida and Alabama northward to southeastern Virginia. It has been reported also from Pennsylvania, but has not been found in that state in recent years. By some botanists, the plant is known as Zephyranthes atamasco.

The flowers sketched were obtained near Yemassee, South Carolina.

PLATE 25",ATAMASCO-LILY,Atamosco atamasco (Linnaeus) Greene,Atamasco-lily ranges from Florida and Alabama northward to southeastern Virginia.,"The flowers sketched were obtained near Yemassee, South Carolina.",25,255,42669097,South Carolina,USA
